N_Illesi,N_Feriti,N_Morti,UnixDate,LAT,LNG
0,0,0,1445268600.0,45.690113,9.663368
1,2,0,1445234400.0,45.682824,9.672867
1,1,0,1445254500.0,45.693480,9.648950
1,1,0,1445268000.0,45.698129,9.672902
3,1,0,1445172300.0,45.693151,9.655883
2,0,0,1445095800.0,45.680777,9.680291
1,1,0,1444997700.0,45.707024,9.677141
0,1,0,1445011500.0,45.692851,9.663871
1,1,0,1444974000.0,45.702902,9.682430
1,2,0,1444977600.0,45.700925,9.682832
2,0,0,1444979400.0,45.700923,9.682832
0,0,0,1444947000.0,45.695198,9.687201
2,0,0,1445003100.0,45.687984,9.667424
2,3,0,1444888200.0,45.707938,9.691846
2,3,0,1444930500.0,45.676005,9.661125
3,0,0,1444942800.0,45.690974,9.671009
1,1,0,1444899600.0,45.689531,9.669176
2,1,0,1444909200.0,45.699056,9.667924
1,0,0,1444860000.0,45.675604,9.646420
2,0,0,1444891200.0,45.677579,9.684352
2,0,0,1444918200.0,45.686867,9.662855
2,0,0,1444807500.0,45.696263,9.666688
2,1,0,1444832400.0,45.687847,9.665980
1,1,0,1444839300.0,45.687436,9.659489
5,0,0,1444834200.0,45.706382,9.688520
4,1,0,1444836000.0,45.703789,9.672521
1,2,0,1444840200.0,45.682259,9.678395
1,1,0,1444831200.0,45.691981,9.676311
1,0,0,1444770000.0,45.693742,9.667914
2,0,0,1444742400.0,45.683813,9.630028
0,1,0,1444738800.0,45.693674,9.671455
3,0,0,1444743300.0,45.695192,9.686379
3,0,0,1444758300.0,45.690995,9.674596
2,0,0,1444725000.0,45.693495,9.692383
1,1,0,1444755600.0,45.674543,9.655712
2,0,0,1444630800.0,45.686885,9.664007
5,0,0,1444640700.0,45.692023,9.648128
1,1,0,1444656600.0,45.692329,9.691430
2,0,0,1444686000.0,45.688162,9.664393
3,0,0,1444637700.0,45.694222,9.670742
3,0,0,1444645800.0,45.675750,9.672285
6,0,0,1444564800.0,45.692329,9.672913
3,0,0,1444554900.0,45.676896,9.650350
4,1,0,1444555800.0,45.687151,9.670671
0,1,0,1444581000.0,45.683687,9.697964
1,0,0,1444479300.0,45.692532,9.650687
1,3,0,1444487400.0,45.695406,9.669378
5,1,0,1444491000.0,45.704083,9.694265
5,0,0,1444471200.0,45.689375,9.646738
1,1,0,1444470600.0,45.678842,9.650279
3,0,0,1444487400.0,45.702968,9.682499
1,1,0,1444494600.0,45.687645,9.689454
1,0,0,1444473300.0,45.706131,9.665147
2,0,0,1444381800.0,45.675591,9.673599
2,1,0,1444402200.0,45.699817,9.652501
0,1,0,1444370700.0,45.687656,9.654225
1,1,0,1444405500.0,45.693651,9.652004
1,1,0,1444368900.0,45.697355,9.684159
0,2,0,1444419000.0,45.671153,9.661266
4,1,0,1444425600.0,45.711943,9.699740
3,0,0,1444302600.0,45.683034,9.670172
1,1,0,1444323300.0,45.688710,9.660501
0,1,0,1444275060.0,45.676576,9.685315
3,0,0,1444287600.0,45.712542,9.671236
2,2,0,1444298700.0,45.675153,9.645386
2,0,0,1444300200.0,45.704108,9.694231
1,1,0,1444306200.0,45.706378,9.688509
1,1,0,1444313400.0,45.698697,9.668279
0,1,0,1444321800.0,45.691266,9.659768
2,1,0,1444309200.0,45.696186,9.693889
3,0,0,1444196700.0,45.677640,9.687260
3,0,0,1444206000.0,45.676984,9.647555
1,1,0,1444206600.0,45.678498,9.650302
1,1,0,1444207200.0,45.705299,9.691371
1,1,0,1444220820.0,45.693538,9.653271
2,0,0,1444239000.0,45.703458,9.677608
2,1,0,1444152600.0,45.681557,9.677939
1,0,0,1444104000.0,45.676567,9.685562
2,0,0,1444112100.0,45.708823,9.695092
1,1,0,1444137000.0,45.683168,9.662234
2,3,0,1444147200.0,45.680860,9.698315
0,0,0,1444107600.0,45.692301,9.672662
1,0,0,1444116600.0,45.687984,9.667424
1,1,0,1444133700.0,45.692889,9.661781
1,0,0,1444040100.0,45.700672,9.679396
2,0,0,1444057200.0,45.711879,9.672633
3,0,0,1444026600.0,45.695607,9.663345
1,1,0,1444031400.0,45.711672,9.699129
4,0,0,1444033500.0,45.695619,9.687490
2,1,0,1444029300.0,45.686752,9.662575
0,1,0,1444063800.0,45.692888,9.663471
5,0,0,1444060500.0,45.676513,9.671316
2,0,0,1443948000.0,45.706041,9.687713
2,0,0,1443954600.0,45.692630,9.694635
4,0,0,1443964800.0,45.677173,9.684605
3,0,0,1443986100.0,45.709728,9.653000
1,0,0,1443871200.0,45.676075,9.669659
3,0,0,1443876600.0,45.677280,9.649380
2,0,0,1443879000.0,45.685175,9.663288
2,1,0,1443882600.0,45.703106,9.669909
1,0,0,1443886200.0,45.688207,9.660044
2,1,0,1443867300.0,45.689346,9.671275
3,0,0,1443904800.0,45.687952,9.667432
2,0,0,1443882600.0,45.696628,9.679069
4,0,0,1443862800.0,45.704083,9.694252
1,1,0,1443802800.0,45.705041,9.681123
0,1,0,1443773340.0,45.677219,9.647796
3,2,0,1443769800.0,45.694295,9.670650
2,1,0,1443780000.0,45.711950,9.689858
1,1,0,1443710100.0,45.688350,9.663108
2,1,0,1443684000.0,45.692489,9.672823
3,0,0,1443691200.0,45.700992,9.665690
1,1,0,1443698100.0,45.688007,9.667435
2,1,0,1443701700.0,45.716754,9.669051
1,1,0,1443711000.0,45.698549,9.655093
2,0,0,1443594900.0,45.675724,9.649657
3,0,0,1443603600.0,45.688086,9.667524
1,1,0,1443607800.0,45.706080,9.687809
4,0,0,1443611100.0,45.687543,9.666093
0,1,0,1443645900.0,45.684802,9.687489
2,0,0,1443603600.0,45.693256,9.644655
3,1,0,1443507300.0,45.703962,9.649233
3,0,0,1443520800.0,45.675134,9.645352
1,1,0,1443522600.0,45.695268,9.681764
1,0,0,1443534000.0,45.684503,9.641688
3,0,0,1438357800.0,45.676029,9.669794
1,0,0,1443478500.0,45.667829,9.636902
1,1,0,1443453300.0,45.677298,9.649355
2,1,0,1443360600.0,45.697775,9.690330
4,1,0,1443256200.0,45.687872,9.711483
1,1,0,1443267600.0,45.701281,9.686309
0,0,0,1443277800.0,45.705876,9.686332
4,2,0,1443284040.0,45.688895,9.650866
1,1,0,1443268200.0,45.691277,9.700299
1,1,0,1443186600.0,45.711909,9.684366
1,0,0,1443172500.0,45.676275,9.661216
0,2,0,1443175200.0,45.692944,9.672197
4,0,0,1443200400.0,45.682166,9.682692
1,0,0,1443189600.0,45.676276,9.661179
2,0,0,1443075000.0,45.676107,9.669644
1,1,0,1443087900.0,45.691092,9.701064
3,0,0,1443113100.0,45.691530,9.675445
2,0,0,1443117600.0,45.693761,9.630723
1,0,0,1442998200.0,45.696786,9.683588
4,1,0,1443019200.0,45.675678,9.651363
3,0,0,1443027000.0,45.709485,9.672941
2,0,0,1443008700.0,45.700871,9.686139
2,0,0,1442993460.0,45.675723,9.642234
2,0,0,1442999700.0,45.694624,9.688607
0,1,0,1443003600.0,45.680415,9.646489
4,0,0,1443010200.0,45.692938,9.674169
2,0,0,1442925000.0,45.688979,9.663205
0,2,0,1442920200.0,45.703859,9.677570
1,1,0,1442926200.0,45.696371,9.675091
2,1,0,1442938800.0,45.684790,9.658535
2,0,0,1442938800.0,45.709137,9.694499
1,1,0,1442943000.0,45.685217,9.657405
1,0,0,1442832300.0,45.665487,9.662710
3,3,0,1442865900.0,45.692407,9.672809
4,0,0,1442866800.0,45.687968,9.667556
1,2,0,1442848200.0,45.720206,9.661367
3,0,0,1442752800.0,45.675539,9.669635
3,1,0,1442756700.0,45.696326,9.668348
4,0,0,1442766600.0,45.684669,9.656897
1,1,0,1442771400.0,45.695338,9.685761
1,1,0,1442615700.0,45.699034,9.667892
1,1,0,1442574900.0,45.695213,9.656631
2,2,0,1442576700.0,45.692044,9.701692
1,1,0,1442580600.0,45.694987,9.633986
0,1,0,1442592900.0,45.713196,9.685453
1,1,0,1442598900.0,45.690278,9.661890
2,0,0,1442599800.0,45.688996,9.646832
1,1,0,1442607300.0,45.700245,9.675131
1,0,0,1442569800.0,45.690976,9.674875
3,1,0,1442468700.0,45.682169,9.678164
1,1,0,1442505000.0,45.673729,9.643669
3,0,0,1442508000.0,45.681709,9.698469
1,1,0,1442471100.0,45.708017,9.692010
1,1,0,1442473200.0,45.700237,9.676592
1,2,0,1442386200.0,45.688063,9.660189
2,1,0,1442394000.0,45.675588,9.672425
3,2,0,1442406600.0,45.701248,9.678050
1,1,0,1442413800.0,45.704115,9.672227
2,0,0,1442414700.0,45.683959,9.672918
2,0,0,1442409900.0,45.708338,9.678920
1,1,0,1442316300.0,45.693621,9.692199
3,0,0,1442318400.0,45.676582,9.685557
0,4,0,1442241900.0,45.676002,9.661151
1,1,0,1442246100.0,45.693159,9.642936
2,0,0,1442246400.0,45.690798,9.671363
2,1,0,1442222400.0,45.710853,9.697659
0,0,0,1442228400.0,45.706617,9.657966
0,1,0,1442241600.0,45.679268,9.697428
1,1,0,1442246100.0,45.689891,9.646766
2,0,0,1442147400.0,45.687500,9.650212
4,0,0,1442097600.0,45.696325,9.630866
2,0,0,1442169900.0,45.709869,9.672525
1,1,0,1442047500.0,45.692611,9.670954
1,1,0,1442061600.0,45.679764,9.697246
2,0,0,1442012400.0,45.689267,9.647429
